Country,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita,Country_Original
141,1.521922575993417,-0.05285568130349528,-0.07097846177669317,-0.04785052239084282,-0.01784590907629405,-0.04245095426176477,-0.058509931720277235,-0.03866604592242387,-0.2066784799175002,Myanmar                             
135,1.4582438071233996,-0.06250700850018531,-0.0716011653510769,-0.06084119174550945,-0.0433363094038531,-0.04387991982236787,-0.059630907709725275,-0.03866604592242387,-0.14470264146165857,Moldova                             
211,-1.4582438071233996,-0.06684555530330868,-0.07186875049511723,-0.0616205444030522,-0.05538251813212349,-0.04905932867750686,-0.059630907709725275,-0.03866604592242387,-0.09673752020146788,Tonga                               
98,-1.6747516212814588,-0.06684555530330868,-0.07186875049511723,-0.0616205444030522,-0.05538251813212349,-0.04905932867750686,-0.059630907709725275,-0.03866604592242387,-0.09673752020146788,Ireland                             
184,1.3436220231573681,-0.018293191108543872,-0.0005588852867646002,-0.03784436532015924,-0.022532334868160257,-0.002583039556751797,-0.0533711820344064,-0.03866604592242387,0.28780225970756335,Serbia                              
146,1.3818292844793787,-0.06445199921133556,-0.07112696185964469,-0.0604540089787344,-0.05538251813212349,-0.048584508817493974,-0.059630907709725275,-0.03866604592242387,0.8128677994491607,New Caledonia                       
35,0.057310891983015706,-0.06684555530330868,-0.07186875049511723,-0.0616205444030522,-0.05538251813212349,-0.04905932867750686,-0.059630907709725275,-0.03866604592242387,-0.09673752020146788,Cameroon                            
29,0.923342148615253,-0.06684555530330868,-0.07186875049511723,-0.0616205444030522,-0.05538251813212349,-0.04905932867750686,-0.059630907709725275,-0.03866604592242387,-0.2316571720838125,British Virgin Islands              
219,-0.006367876887001745,-0.06684555530330868,-0.07186875049511723,-0.0616205444030522,-0.05538251813212349,-0.04905932867750686,-0.059630907709725275,-0.03866604592242387,-0.09673752020146788,Uganda                              
192,-0.13372541462703663,-0.06684555530330868,-0.07186875049511723,-0.0616205444030522,-0.05538251813212349,-0.04905932867750686,-0.059630907709725275,-0.03866604592242387,-0.09673752020146788,Somalia                             
33,-1.3563577769313717,-0.06684555530330868,-0.07186875049511723,-0.0616205444030522,-0.05538251813212349,-0.04905932867750686,-0.059630907709725275,-0.03866604592242387,-0.09673752020146788,Burundi                             
116,1.2672075005133472,-0.06597603230132942,-0.07263812729945661,-0.06283153853246479,-0.05538251813212349,-0.04839805444931089,-0.059630907709725275,-0.03866604592242387,-0.198575744390621,Liberia                             
144,-0.8851348872932425,-0.06684555530330868,-0.07186875049511723,-0.0616205444030522,-0.05538251813212349,-0.04905932867750686,-0.059630907709725275,-0.03866604592242387,-0.09673752020146788,Nepal                               
